codepoints	group	advance	drawn	note
0061	single	1	1	ascii
03A9	single	1	1	greek
00F1	single	1	1	latin-1 precomposed
2192	single	1	1	east asian ambiguous
6F22	single	2	2	east asian wide
FF21	single	2	2	fullwidth
FF71	single	1	1	halfwidth katakana
D55C	single	2	2	hangul syllable
2588	single	1	1	block
2500	single	1	1	box drawing
FDFA	single	1	2	arabic ligature
1F44D	emoji	2	2	emoji presentation, wide
231A	emoji	2	2	emoji presentation, wide
2705	emoji	2	2	emoji presentation, wide
263A	emoji	1	1	text presentation, narrow
2764	emoji	1	1	text presentation, narrow
1F3F3	emoji	1	2	no presentation, narrow
2691	emoji	1	2	no presentation, narrow
263A+FE0F	variation	1	2	narrow base + VS16
2764+FE0F	variation	1	2	narrow base + VS16
1F3F3+FE0F	variation	1	2	narrow base + VS16
2691+FE0F	variation	1	2	narrow base + VS16
1F44D+FE0F	variation	2	2	wide base + VS16
231A+FE0F	variation	2	2	wide base + VS16
263A+FE0E	variation	1	2	narrow base + VS15
1F44D+FE0E	variation	2	4	wide base + VS15
1F468+200D+1F469	joined	4	4	wide first, two parts
1F468+200D+1F469+200D+1F467	joined	2	2	wide first, three parts
1F468+200D+1F469+200D+1F467+200D+1F466	joined	2	2	wide first, four parts
1F469+200D+1F4BB	joined	2	2	wide first, two parts
1F469+200D+1F680	joined	2	2	wide first, two parts
1F3F3+FE0F+200D+1F308	joined	1	2	narrow first, selector, two parts
1F3F3+FE0F+200D+26A7+FE0F	joined	1	2	narrow first, two selectors
2764+FE0F+200D+1F525	joined	1	2	narrow first, selector, two parts
1F441+FE0F+200D+1F5E8+FE0F	joined	1	2	narrow first, two selectors
1F43B+200D+2744+FE0F	joined	2	2	wide first, narrow second
0061+200D+0062	joined	2	2	letters either side of a joiner
200D	joined	1	1	a joiner on its own
1F44D+1F3FD	modifier	2	2	skin tone
1F469+1F3FF+200D+1F4BB	modifier	2	2	skin tone inside a joined pair
0031+20E3	enclosing	1	2	keycap without a selector
0031+FE0F+20E3	enclosing	1	2	keycap with a selector
0061+20DD	enclosing	2	2	combining enclosing circle
0061+0488	enclosing	2	2	combining cyrillic sign
1F1FA	flag	1	2	one indicator
1F1FA+1F1F8	flag	1	2	two indicators
1F1FA+1F1F8+1F1EF	flag	2	3	three indicators
1F1FA+1F1F8+1F1EF+1F1F5	flag	2	3	four indicators
1F3F4+E0067+E0062+E0073+E0063+E0074+E007F	flag	2	2	tag sequence
0065+0301	marks	1	1	one nonspacing mark
0065+0301+0302	marks	1	1	two nonspacing marks
0065+0301+0302+0303+0304	marks	1	1	four nonspacing marks
0915+094D+0937	indic	1	2	devanagari conjunct
0915+094D+0937+093F	indic	2	3	conjunct plus a spacing vowel
0915+093F	indic	2	3	consonant plus a spacing vowel
0915+094B	indic	2	2	consonant plus a two part vowel
0BA8+0BBF	indic	1	2	tamil na plus a vowel
0BA8+0BCB	indic	3	3	tamil na plus a two part vowel
0995+09CD+09B7	indic	1	2	bengali conjunct
0C15+0C4D+0C37	indic	1	1	telugu conjunct
0E01+0E33	thai	3	3	ko kai plus sara am
0E01+0E33+0E33	thai	5	5	ko kai plus two sara am
0E01+0E48	thai	1	1	ko kai plus a tone mark
0E01+0E34+0E48	thai	1	1	ko kai, vowel, tone
0EA5+0EB2	lao	2	2	lo loot plus a vowel
1100+1161	hangul	2	2	lead and vowel
1100+1161+11A8	hangul	2	2	lead, vowel and tail
