# unicode=16.0.0 clusters=5274
codepoints	group	note
0061	control	ascii
03A9	control	greek
00F1	control	latin-1 precomposed
2192	control	east asian ambiguous
6F22	control	east asian wide
FF21	control	fullwidth
FF71	control	halfwidth katakana
D55C	control	hangul syllable
2588	control	block
2500	control	box drawing
FDFA	control	arabic ligature
1F44D	control	emoji presentation, wide
231A	control	emoji presentation, wide
2705	control	emoji presentation, wide
263A	control	text presentation, narrow
2764	control	text presentation, narrow
1F3F3	control	no presentation, narrow
2691	control	no presentation, narrow
263A+FE0F	control	narrow base + VS16
2764+FE0F	control	narrow base + VS16
1F3F3+FE0F	control	narrow base + VS16
2691+FE0F	control	narrow base + VS16
1F44D+FE0F	control	wide base + VS16
231A+FE0F	control	wide base + VS16
263A+FE0E	control	narrow base + VS15
1F44D+FE0E	control	wide base + VS15
1F468+200D+1F469	control	wide first, two parts
1F468+200D+1F469+200D+1F467	control	wide first, three parts
1F468+200D+1F469+200D+1F467+200D+1F466	control	wide first, four parts
1F469+200D+1F4BB	control	wide first, two parts
1F469+200D+1F680	control	wide first, two parts
1F3F3+FE0F+200D+1F308	control	narrow first, selector, two parts
1F3F3+FE0F+200D+26A7+FE0F	control	narrow first, two selectors
2764+FE0F+200D+1F525	control	narrow first, selector, two parts
1F441+FE0F+200D+1F5E8+FE0F	control	narrow first, two selectors
1F43B+200D+2744+FE0F	control	wide first, narrow second
0061+200D+0062	control	letters either side of a joiner
200D	control	a joiner on its own
1F44D+1F3FD	control	skin tone
1F469+1F3FF+200D+1F4BB	control	skin tone inside a joined pair
0031+20E3	control	keycap without a selector
0031+FE0F+20E3	control	keycap with a selector
0061+20DD	control	combining enclosing circle
0061+0488	control	combining cyrillic sign
1F1FA	control	one indicator
1F1FA+1F1F8	control	two indicators
1F1FA+1F1F8+1F1EF	control	three indicators
1F1FA+1F1F8+1F1EF+1F1F5	control	four indicators
1F3F4+E0067+E0062+E0073+E0063+E0074+E007F	control	tag sequence
0065+0301	control	one nonspacing mark
0065+0301+0302	control	two nonspacing marks
0065+0301+0302+0303+0304	control	four nonspacing marks
