codepoints	group	counted	cluster_width	code_point_sum	note
0061	control	1	1	1	ascii
03A9	control	1	1	1	greek
00F1	control	1	1	1	latin-1 precomposed
2192	control	1	1	1	east asian ambiguous
6F22	control	2	2	2	east asian wide
FF21	control	2	2	2	fullwidth
FF71	control	1	1	1	halfwidth katakana
D55C	control	2	2	2	hangul syllable
2588	control	1	1	1	block
2500	control	1	1	1	box drawing
FDFA	control	1	1	1	arabic ligature
1F44D	control	2	2	2	emoji presentation, wide
231A	control	2	2	2	emoji presentation, wide
2705	control	2	2	2	emoji presentation, wide
263A	control	1	1	1	text presentation, narrow
2764	control	1	1	1	text presentation, narrow
1F3F3	control	1	1	1	no presentation, narrow
2691	control	1	1	1	no presentation, narrow
263A+FE0F	control	2	2	1	narrow base + VS16
2764+FE0F	control	2	2	1	narrow base + VS16
1F3F3+FE0F	control	2	2	1	narrow base + VS16
2691+FE0F	control	1	1	1	narrow base + VS16
1F44D+FE0F	control	2	2	2	wide base + VS16
231A+FE0F	control	2	2	2	wide base + VS16
263A+FE0E	control	1	1	1	narrow base + VS15
1F44D+FE0E	control	1	1	2	wide base + VS15
1F468+200D+1F469	control	2	2	5	wide first, two parts
1F468+200D+1F469+200D+1F467	control	2	2	8	wide first, three parts
1F468+200D+1F469+200D+1F467+200D+1F466	control	2	2	11	wide first, four parts
1F469+200D+1F4BB	control	2	2	5	wide first, two parts
1F469+200D+1F680	control	2	2	5	wide first, two parts
1F3F3+FE0F+200D+1F308	control	2	2	4	narrow first, selector, two parts
1F3F3+FE0F+200D+26A7+FE0F	control	2	2	3	narrow first, two selectors
2764+FE0F+200D+1F525	control	2	2	4	narrow first, selector, two parts
1F441+FE0F+200D+1F5E8+FE0F	control	2	2	3	narrow first, two selectors
1F43B+200D+2744+FE0F	control	2	2	4	wide first, narrow second
0061+200D+0062	control	2	2	3	letters either side of a joiner
200D	control	0	0	1	a joiner on its own
1F44D+1F3FD	control	2	2	4	skin tone
1F469+1F3FF+200D+1F4BB	control	2	2	7	skin tone inside a joined pair
0031+20E3	control	1	1	2	keycap without a selector
0031+FE0F+20E3	control	2	2	2	keycap with a selector
0061+20DD	control	1	1	2	combining enclosing circle
0061+0488	control	1	1	2	combining cyrillic sign
1F1FA	control	2	2	1	one indicator
1F1FA+1F1F8	control	2	2	2	two indicators
1F1FA+1F1F8+1F1EF	control	4	4	3	three indicators
1F1FA+1F1F8+1F1EF+1F1F5	control	4	4	4	four indicators
1F3F4+E0067+E0062+E0073+E0063+E0074+E007F	control	2	2	8	tag sequence
0065+0301	control	1	1	1	one nonspacing mark
0065+0301+0302	control	1	1	1	two nonspacing marks
0065+0301+0302+0303+0304	control	1	1	1	four nonspacing marks
0915+094D+0937	control	1	2	2	devanagari conjunct
0915+094D+0937+093F	control	1	2	3	conjunct plus a spacing vowel
0915+093F	control	1	2	2	consonant plus a spacing vowel
0915+094B	control	1	2	2	consonant plus a two part vowel
0BA8+0BBF	control	1	2	2	tamil na plus a vowel
0BA8+0BCB	control	1	2	2	tamil na plus a two part vowel
0995+09CD+09B7	control	1	2	2	bengali conjunct
0C15+0C4D+0C37	control	1	2	2	telugu conjunct
0E01+0E33	control	1	2	2	ko kai plus sara am
0E01+0E33+0E33	control	1	2	3	ko kai plus two sara am
0E01+0E48	control	1	1	1	ko kai plus a tone mark
0E01+0E34+0E48	control	1	1	1	ko kai, vowel, tone
0EA5+0EB2	control	2	2	2	lo loot plus a vowel
1100+1161	control	2	2	2	lead and vowel
1100+1161+11A8	control	2	2	2	lead, vowel and tail
1F600	emoji-fully-qualified	2	2	2	grinning face
1F603	emoji-fully-qualified	2	2	2	grinning face with big eyes
1F604	emoji-fully-qualified	2	2	2	grinning face with smiling eyes
1F601	emoji-fully-qualified	2	2	2	beaming face with smiling eyes
1F606	emoji-fully-qualified	2	2	2	grinning squinting face
1F605	emoji-fully-qualified	2	2	2	grinning face with sweat
1F923	emoji-fully-qualified	2	2	2	rolling on the floor laughing
1F602	emoji-fully-qualified	2	2	2	face with tears of joy
